split_mig	20	20	980.1320829646643	-890.7126719251324	1183792.9661544168	269419.39724131714	4242166.771360519	2.381019950007677e-08	7241.423984464096	4313.3676621721215	nan	7.207328827255414e-10	nan	
split_mig	20	20	719.4098458954118	-180462.47720385305	1542830.2122444115	834112.1636316809	2017852.5343043979	1.5125433321725065e-05	nan	nan	20853.345501256674	nan	2.1125707446843577e-05	
split_mig	20	20	1149.552152888173	-22535.063601846727	941214.1603726043	608026.3173236488	3824063.4375636945	2.760111153433636e-07	9665.330082580784	5249.904511802603	75893.60644042237	2.3166570199908246e-09	3.0586774657950655e-05	
split_mig	20	20	542.1862194631237	-178258.4057417106	1074476.4160229475	985568.6316063224	2313315.2162747295	1.4613414130620154e-05	nan	nan	29964.903039620047	nan	2.227733252725666e-05	
split_mig	20	20	1135.4554875016793	-8840.841579552092	2118442.3673595404	174552.852558894	2787023.1505288617	1.655884472507662e-07	44509.608009943964	3563.6672923292404	62580.8133174043	2.5393206887628454e-09	1.9304545964126122e-05	
split_mig	20	20	4912.412415789497	-10711.957182163733	1463972.2175579963	14183.281053140037	2326693.800501406	4.670727442572441e-11	nan	224.92627414314035	nan	2.4041206267357287e-12	nan	
split_mig	20	20	934.2783840859105	-685.7125035062015	1305049.8207640743	211901.2254114421	4100766.724275008	1.8824555175093842e-08	3584.9455035549418	3232.115306322042	nan	5.986089323989087e-10	nan	
split_mig	20	20	935.0499306059651	-685.8480916011225	1302084.8282686211	214358.52890686528	4098846.5908485726	1.8876796239296617e-08	3539.466875658505	3265.1664091749244	nan	6.00405800722319e-10	nan	
split_mig	20	20	935.1974857418976	-685.8183280137958	1303350.2866302233	212584.02536672325	4101332.8595199753	1.855075727659468e-08	3519.650627748819	3239.228016547622	nan	5.913563401170609e-10	nan	
split_mig	20	20	938.2840699072235	-685.7974291591265	1304093.4739778533	212627.09451133554	4097570.2043156335	1.859758757435363e-08	3406.951222765565	3237.815709727568	nan	5.929882398517297e-10	nan	
